Album,Artist,Release Year,Genre,Desciption,Price,New/Used,Media Condition,Sleeve/Insert Condition,Video Link,Track Listing,Format,Number of Discs,Pressing Year,Pressing Country,Record Label,Stock
Rocks,Aerosmith,1976,"Hard Rock, Classic Rock","Aerosmith's seminal fourth album, oozing groove and swagger",$54.99,0,Brand New,Brand New,https://www.youtube.com/watch?v=lX8GG3dnsp8,https://en.wikipedia.org/wiki/Rocks_(Aerosmith_album),"12"" Vinyl",1,2017,EU,Sony Music CMG,1
A Paranormal Evening at the Olympia Paris,Alice Cooper,2018,"Hard Rock, Classic Rock","One of the best live albums you'll hear, Alice and co bring two LPs worth of career spanning hits to life on stage in Paris",$59.99,0,Brand New,Brand New,https://www.youtube.com/watch?v=VnIv9D5SK2U,"A1. Brutal Planet, A2. No More Mister Nice Guy, A3, Under My Wheels, A4. Department of Youth, A5. Pain, A6. Billion Dollar Babies, B1. The World Needs Guts, B2. Woman of Mass Distraction, B3. Poison, B4. Halo of Flies, C1. Feed My Frankenstein, C2. Cold Ethyl, C3. Only Women Bleed, C4. Paranoic Personality, D1. The Ballad of Dwight Fry, D2. Killer/I Love the Dead, D3. I'm Eighteen, D4. School's Out/Another Brick in the Wall Part II","12"" Vinyl",2,2018,EU,earMusic,1
For All Kings,Anthrax,2016,Metal,"The second album since the bands reunion with classic vocalist Joey Belladonna, this slays!",$59.99,0,Brand New,Brand New,https://www.youtube.com/watch?v=LuLvfm5yDlw,https://en.wikipedia.org/wiki/For_All_Kings,"12"" Vinyl",2,2016,EU,Nuclear Blast,2
Live in London,H.E.A.T,2015,Hard Rock,"Sweden's finest melodic hard rockers of the new millenium are firing on all cylenders in this high energy show, featuring current Skid Row vocalist Eric Gronwall behind the mic",$19.99,0,Brand New,Brand New,https://www.youtube.com/watch?v=M3DA6PiUsWQ,"1. Point of No Return, 2. A Shot at Redemption, 3. Better Off Alone, 4. 1000 Miles, 5. It's All About Tonight, 6. Inferno, 7. The Wreckoning/Tearing Down the Walls, 8. Mannequin Show, 9. Late Night Lady, 10. In and Out of Trouble, 11. Downtown, 12. Enemy In Me, 13.Emergency, 14. Breaking the Silence, 15. Living on the Run",CD,1,2015,EU,earMusic,1
Pornograffiti,Extreme,1990,Hard Rock,Crowning achievment of funky rockers Extreme,$19.99,0,Brand New,Brand New,https://www.youtube.com/watch?v=UrIiLvg58SY,https://en.wikipedia.org/wiki/Extreme_II:_Pornograffitti,CD,1,1994,EU,EMI,1
Ten,Michael Sweet,2019,"Hard Rock, Metal, Christian","Blistering solo album from the Stryper frontman, featuring guest appearances by Jeff Loomis, Tracii Guns, Joel Hoekstra and more",$22.99,0,Brand New,Brand New,https://www.youtube.com/watch?v=5o3nTMCCEok,"1. Better Part of Me, 2. Lay it Down, 3. Forget, Forgive, 4. Now or Never, 5. Ten, 6. Shine, 7. Let it Be Love, 8. Never Alone, 9. When Love is Hated, 10. Ricochet, 11. With You Till The End, 12. Son of Man",CD,1,2019,EU,Frontiers Music SRL,1
Point of Entry,Judas Priest,1981,Metal,"Cracking follow up to British Steel, this features hits such as 'Desert Plains' and 'Heading Out To The Highway""",$14.99,1,VG+,NM,https://www.youtube.com/watch?v=LKuuHfMx3CQ,https://en.wikipedia.org/wiki/Point_of_Entry,CD,1,1991,EU,CBS,1
The Ultimate Sin,Ozzy Osbourne,1986,Metal,"The final album featuring the legenday Jake E Lee on the axe, get amongst it!",$14.99,1,VG+,NM,https://www.youtube.com/watch?v=O_ypaOIVmaA,https://en.wikipedia.org/wiki/The_Ultimate_Sin,CD,1,1986,EU,Epic,1
All Killer No Filler,Sum 41,2001,Alternative,A classic slab of early 2000s pop punk,$12.99,1,VG+,VG+,https://www.youtube.com/watch?v=CMX2lPum_pg,https://en.wikipedia.org/wiki/All_Killer_No_Filler,CD,1,2001,Australasia,Island,1
Welcome to the Videos,Guns N Roses,1998,Hard Rock,Watch those classic Gunners vids without YouTube interupting you with ads!,$7.99,1,VG-,VG,https://www.youtube.com/watch?v=8SbUC-UaAxE,https://en.wikipedia.org/wiki/Welcome_to_the_Videos,Music DVD,1,1998,New Zealand,Geffen,1
World Circus (Green Vinyl),Toxik,1987,Metal,"Classic debut from the US thrashers Toxik, reissued on Green Vinyl",$54.99,1,NM,NM,https://www.youtube.com/watch?v=R3QEFQ9ZFis,https://en.wikipedia.org/wiki/World_Circus,"12"" Vinyl",1,2021,EU,"Music on Vinyl, Roadrunner",1
Imaginations From the Other Side 2LP,Blind Guardian,1995,Metal,"Take a dark, epic journey with masters of European Power metal - Blind Guardian",$69.99,0,Brand New,Brand New,https://www.youtube.com/watch?v=HPG7gYoqpHM,https://en.wikipedia.org/wiki/Imaginations_from_the_Other_Side,"12"" Vinyl",2,2018,EU,Nuclear Blast,1
Mirrorball 3LP (Clear Vinyl),Def Leppard,2011,Hard Rock,"All the classic hits you know and love are included on this massive 3LP live set on clear vinyl, as well as a couple of new (at the time) songs.",$69.99,0,Brand New,Brand New,https://www.youtube.com/watch?v=rNV-A1tsoOA,https://en.wikipedia.org/wiki/Mirror_Ball_%E2%80%93_Live_%26_More,"12"" Vinyl",3,?,?,Bludgeon Riffola,1
Empire of the Undead,Gamma Ray,2014,Metal,"Do you like Helloween?  This is Kai Hansen's long running band that he started after leaving, and in my humbe opinon this is their best album.  Absolutely crusing power metal.",$44.99,0,Brand New,Brand New,https://www.youtube.com/watch?v=ZkF-ErMnwNo,https://en.wikipedia.org/wiki/Empire_of_the_Undead,"12"" Vinyl",1,2014,EU,EarMusic,1
